fecha,cetes28,tc_fix,expectativa,m1,m2,reservas,tiie28,tiie91,tasa_obj,spread_tiie,remesas,vix,fed_funds,petroleo,precio_maiz,precio_trigo
2009-09-01,4.4825,13.407566666666666,4.1499999999999995,1408923740.3,3913068198.43,76536.225,4.913719047619048,5.007642857142857,4.5,0.09392380952380908,NA,24.93,0.15,69.41,150.5927930272108,156.9304506349206
2009-10-01,4.512,13.252590322580645,4.33,1456830289.17,3968328795.1,79501.56,4.925277272727273,5.024404545454545,4.5,0.09912727272727206,NA,24.25,0.12,75.72,167.2791214285714,163.7264383333332
2009-11-01,4.5075,13.13145,4.760000000000001,1481480152.23,3982432847.35,80878.15,4.931431578947368,5.075615789473684,4.5,0.14418421052631558,NA,23.79,0.12,77.99,171.6868545112783,177.6072814035088
2009-12-01,4.502,12.85556129032258,4.890000000000001,1613450000.14,4130781440.26,87609.18,4.929845454545455,5.074836363636363,4.5,0.14499090909090828,NA,21.24,0.12,74.47,164.6128196428572,171.1554987301588
2010-01-01,4.4925,12.832629032258064,4.489999999999999,1547730010.14,4081855490.04,91520.75,4.907375,5.05159,4.5,0.14421499999999998,NA,20.64,0.11,78.33,167.3356308270676,167.8218628070175
2010-02-01,4.485,12.961846428571429,4.22,1517869613.5,4094608048.47,93780.675,4.9205,5.0281473684210525,4.5,0.10764736842105282,NA,22.54,0.13,76.39,161.9069612781955,160.1615603703704
2010-03-01,4.448,12.604651612903226,4.05,1524673468.98,4032744721.84,94882.74,4.922159090909091,5.023413636363636,4.5,0.10125454545454549,NA,17.77,0.16,81.2,158.9277694099379,156.4641179710145
2010-04-01,4.4375,12.262080000000001,4.04,1503990111.83,4019684814.78,97095.675,4.93839,5.02648,4.5,0.08809000000000022,NA,17.42,0.2,84.29,157.2666426870748,156.8254687301588
2010-05-01,4.515000000000001,12.682467741935485,4.15,1526831442.17,4093547244.14,98042.3,4.944238095238095,5.0372,4.5,0.09296190476190525,NA,31.93,0.2,73.74,163.2403005357142,158.3284596666667
2010-06-01,4.59,12.718183333333334,4.129999999999999,1557126004.7,4132719561.04,99150.04999999999,4.936518181818181,5.014345454545454,4.5,0.07782727272727286,NA,29.92,0.18,75.34,152.8739339285714,149.21269
2010-07-01,4.593999999999999,12.833406451612904,4.159999999999999,1562707323.63,4152034064.13,102885.4,4.9188363636363635,5.008277272727272,4.5,0.08944090909090896,NA,25.57,0.18,76.32,163.9217455782313,182.7385022222222
2010-08-01,4.5175,12.729522580645162,4.07,1561715860.71,4231955534.09,106111.925,4.902390909090909,4.987222727272727,4.5,0.08483181818181862,NA,24.75,0.19,76.6,175.6001303571429,219.8774416666667
2010-09-01,4.426,12.86421,4.01,1575903553.54,4193951327.16,107202,4.90163,4.9808,4.5,0.0791700000000004,NA,22.52,0.19,75.24,205.8395204081632,240.4321828333334
2010-10-01,4.025,12.455687096774193,3.8299999999999996,1581896026.8,4294427496,109455.64,4.868647619047619,4.951204761904762,4.5,0.08255714285714344,NA,20.37,0.19,81.89,235.7031229591837,234.5995631746031
2010-11-01,3.9699999999999998,12.31381,3.7600000000000002,1627355714.16,4297482580.87,110515.475,4.867665,4.92067,4.5,0.053005000000000635,NA,20.1,0.19,84.25,238.23674875,241.8401333333334
2010-12-01,4.304,12.400580645161291,3.730000000000001,1831591444.5,4442009701.88,112193.56,4.886369565217391,4.954434782608696,4.5,0.06806521739130478,NA,17.57,0.18,89.15,250.6255508503401,274.4568181666668
2011-01-01,4.135,12.153206451612903,3.7700000000000005,1728772137.61,4431859293.31,117364.425,4.8578,4.914985714285715,4.5,0.05718571428571462,NA,17.32,0.17,89.17,265.2855239795918,295.9886068333333
2011-02-01,4.0424999999999995,12.077121428571429,3.8099999999999996,1723622268.89,4441379303.5,119579.175,4.841326315789474,4.883121052631579,4.5,0.041794736842104996,NA,17.43,0.16,88.58,293.3967969924812,317.6006514035087
2011-03-01,4.268,12.019170967741935,3.74,1734597226.24,4444644901.49,121981.5,4.839772727272727,4.870863636363636,4.5,0.031090909090909058,NA,20.72,0.14,102.86,290.4347217391303,285.3758111111111
2011-04-01,4.2775,11.755363333333333,3.84,1742346199.77,4476820113.73,124226.1,4.846447368421052,4.882126315789474,4.5,0.03567894736842181,NA,16.24,0.1,109.53,318.9387760204081,307.2544084210527
2011-05-01,4.31,11.652335483870967,4.0200000000000005,1725414014.59,4470236062.3,126541.475,4.848631818181818,4.884827272727272,4.5,0.03619545454545392,NA,16.91,0.09,100.9,308.5752214285714,307.1945503174603
2011-06-01,4.372,11.80157,4.06,1786661865.37,4527262924.48,129309.15,4.8444,4.8897545454545455,4.5,0.0453545454545452,NA,19.15,0.09,96.26,310.5364742857143,285.29787
2011-07-01,4.140000000000001,11.670693548387097,3.9299999999999997,1773596721.24,4565834754.97,131608.6,4.8192,4.857619047619048,4.5,0.038419047619047575,NA,19.23,0.07,97.3,300.8322094642856,271.4622093333333
2011-08-01,4.0525,12.2,4.029999999999999,1770802580.29,4608944108.85,135343.675,4.80745652173913,4.849347826086957,4.5,0.04189130434782662,NA,35.03,0.1,86.33,310.3071116459627,288.6883083333334
2011-09-01,4.228,12.923406666666667,3.9299999999999997,1878140343.69,4631368842.8,136797.14,4.777204761904762,4.799380952380952,4.5,0.02217619047619035,NA,36.53,0.08,85.52,296.2994964285715,272.340557936508
2011-10-01,4.359999999999999,13.468677419354838,3.8,1860381606.26,4722292965.65,139052.175,4.7951,4.807785714285714,4.5,0.012685714285714411,NA,32.83,0.07,86.32,274.8463760204082,251.5891347619049
2011-11-01,4.35,13.637123333333333,3.6799999999999997,1896333581.99,4786314213.94,140099.25,4.7996099999999995,4.80763,4.5,0.008020000000000138,NA,31.94,0.08,97.16,274.2783489285714,244.5378501587302
2011-12-01,4.338,13.748129032258065,3.67,2081526297.8,4960125962.8,141391.7,4.798347619047619,4.809319047619048,4.5,0.010971428571428632,NA,25.05,0.07,98.56,258.5179404761905,236.0596865
2012-01-01,4.2725,13.488016129032259,3.63,1977024819,4963954576.84,145201.15,4.786813636363636,4.797240909090909,4.5,0.01042727272727273,NA,20.23,0.08,100.27,272.9201455357144,243.7023691666668
2012-02-01,4.3225,12.803558620689655,3.6100000000000003,1938067672.56,4967753450.37,147966.7,4.78389,4.797825,4.5,0.013934999999999143,NA,18.42,0.1,102.2,279.5143214285714,245.9804765
2012-03-01,4.242,12.757809677419354,3.73,2025670843.14,5063813573.69,148757.02,4.768538095238095,4.786895238095238,4.5,0.01835714285714296,NA,16.17,0.13,106.16,280.7150519642858,243.4935983333332
2012-04-01,4.2925,13.02576,3.89,1993418064.76,5027747964.92,152252.8,4.743036842105263,4.756231578947368,4.5,0.013194736842105037,NA,17.82,0.14,103.32,274.2192966071428,228.0863108333332
2012-05-01,4.39,13.53816129032258,4.029999999999999,2024555007.15,5055211378.94,154056.2,4.759981818181818,4.7805,4.5,0.02051818181818188,NA,21,0.16,94.65,268.8849035714286,228.87964
2012-06-01,4.335,13.97611,3.8999999999999995,2103633907.43,5100292843.34,156255.13999999998,4.7642428571428574,4.78612380952381,4.5,0.021880952380952223,NA,21.13,0.16,82.3,267.3289217687075,241.9657934920636
2012-07-01,4.1525,13.391945161290323,3.6,2045683289.55,5104114982.75,158400.225,4.778363636363636,4.791468181818182,4.5,0.013104545454545757,NA,17.57,0.16,87.9,332.9988525510204,310.7464380952381
