cve_ent,periodo,entidad,fecha,h,tasa_narco,g,log_itaee,itaee,pi,inpc,d_tc,cetes28,expectativa,d_wti,d_mes02,d_mes03,d_mes04,d_mes05,d_mes06,d_mes07,d_mes08,d_mes09,d_mes10,d_mes11,d_mes12
24,158,San Luis Potosí,2017-02-01,0.5152594092462102,0.674072715416788,0.036483678410411,4.556433041201319,95.24314483697256,0.0026899976874767972,93.06749657,-0.04997882005125831,6.0575,3.94,0.018307579363062043,1,0,0,0,0,0,0,0,0,0,0
24,159,San Luis Potosí,2017-03-01,0.42668024718668957,0.5321626700658852,0.027788091699695094,4.555645426382067,95.16815945834084,0.006824928554194365,93.70484805,-0.047079425495271554,6.318,3.88,-0.08058833371499352,0,1,0,0,0,0,0,0,0,0,0
24,160,San Luis Potosí,2017-04-01,0.42668024718668957,0.5321626700658852,0.020266647038214458,4.554772700054822,95.0851399319986,0.007711692147812421,94.43026449,-0.03326496631093079,6.4975000000000005,3.810000000000001,0.03446899656769098,0,0,1,0,0,0,0,0,0,0,0
24,161,San Luis Potosí,2017-05-01,0.7750763573365589,1.1707578741449476,0.022549725901421347,4.5633452099243765,95.90376204234325,0.006711064561715219,95.06612335,9.841701120425483e-4,6.5575,3.82,-0.051850070052278596,0,0,0,1,0,0,0,0,0,0,0
24,162,San Luis Potosí,2017-06-01,0.7912876175336993,1.2062353854826733,0.02538187566320982,4.572126937137886,96.74967155636604,0.0013180090587328053,95.19150397,-0.03197231404735579,6.816,3.790000000000001,-0.07049683072120194,0,0,0,0,1,0,0,0,0,0,0
24,163,San Luis Potosí,2017-07-01,0.8072402597240461,1.241712896820399,0.0278464040917088,4.580552580668389,97.5682936667107,0.0014180565445478521,95.32658666,-0.01960847688451617,6.99,3.83,0.031589599780372346,0,0,0,0,0,1,0,0,0,0,0
24,164,San Luis Potosí,2017-08-01,0.8536258382221966,1.348145430833576,0.02701031420168931,4.585631555207276,98.0651011142658,0.004296713801679175,95.73705893,-0.0026972580737152363,6.938,3.85,0.029789886391553555,0,0,0,0,0,0,1,0,0,0,0
24,165,San Luis Potosí,2017-09-01,0.9123049898205898,1.4900554761844786,0.025989288480829487,4.590684864064248,98.5619085618209,0.004968925313277417,96.21395307,-5.39203990532755e-5,6.985,3.78,0.03638251262225145,0,0,0,0,0,0,0,1,0,0,0
24,166,San Luis Potosí,2017-10-01,0.7750763573365589,1.1707578741449476,0.0320194777899756,4.5955509689337735,99.04268996268068,0.0025874237505254527,96.46322168,0.04974193651948955,7.03,3.770000000000001,0.03471749061916407,0,0,0,0,0,0,0,0,1,0,0
24,167,San Luis Potosí,2017-11-01,0.6718687959899504,0.9578928061185935,0.03366550659375456,4.599287134895443,99.41342201665994,0.0037530161703225318,96.82592991,0.01464673703909325,7.018,3.81,0.0935814489322655,0,0,0,0,0,0,0,0,0,1,0
24,168,San Luis Potosí,2017-12-01,0.7418434600697297,1.0998028514694962,0.03527390710910794,4.60288953700539,99.77219497212371,0.00424567030404166,97.2378948,0.005857588867682839,7.1675,3.89,0.02165645237781888,0,0,0,0,0,0,0,0,0,0,1
24,169,San Luis Potosí,2018-01-01,0.8346910894015404,1.304102176758009,0.030245008563826836,4.6065984358145835,100.142927026103,0.00957098608571716,98.17302526,-0.004991836113481529,7.245,4.03,0.09581266081483442,0,0,0,0,0,0,0,0,0,0,0
24,170,San Luis Potosí,2018-02-01,0.8498723356665233,1.3393481815352526,0.02736649588880269,4.608223011639485,100.3057490269169,0.006372947601890111,98.80067467,-0.02074552749520997,7.395,3.91,-0.023347363996991,1,0,0,0,0,0,0,0,0,0,0
24,171,San Luis Potosí,2018-03-01,0.738419807392117,1.092626148094548,0.024774027044577096,4.609688105402243,100.4528140599101,0.0029114956667593006,99.08875157,0.002089798045966429,7.472,3.85,0.007843177461025697,0,1,0,0,0,0,0,0,0,0,0
24,172,San Luis Potosí,2018-04-01,0.7715507722237505,1.163118157649035,0.021615142956258104,4.611307673626959,100.615636060724,-9.117591303455796e-4,98.99844767,-0.016664428315926294,7.4575,4.03,0.05475508882417923,0,0,1,0,0,0,0,0,0,0,0
24,173,San Luis Potosí,2018-05-01,0.7877135212510283,1.1983641624262786,0.008820416243245255,4.604938679029057,99.97685198366334,0.0014538992283679164,99.14248612,0.058668007434180325,7.512,3.96,0.054774022073210915,0,0,0,1,0,0,0,0,0,0,0
24,174,San Luis Potosí,2018-06-01,0.704153457933054,1.022134138540061,-0.00388535640594867,4.598314490358825,99.31677510403397,7.750509158332974e-4,99.21935638,0.04313998790860385,7.635,3.82,-0.030615376223875224,0,0,0,0,1,0,0,0,0,0,0
24,175,San Luis Potosí,2018-07-01,0.8498723356665233,1.3393481815352526,-0.013965056182756008,4.5918619329919546,98.6779910269733,0.006388169189118997,99.85521524,-0.06173938573286364,7.73,3.75,0.04480403650268361,0,0,0,0,0,1,0,0,0,0,0
24,176,San Luis Potosí,2018-08-01,0.8940803762387564,1.445086195866983,-0.011250862392293115,4.5985920330123475,99.3443435708714,0.00896061302796447,100.754,-0.01543054271595512,7.73,3.669999999999999,-0.04200847814559072,0,0,0,0,0,0,1,0,0,0,0
24,177,San Luis Potosí,2018-09-01,0.6686711356222136,0.9516421289855742,-0.008668912893829095,4.605277141415851,100.01069611476947,0.004772522549380653,101.236,0.012245752515759989,7.685,3.74,0.03138590109816963,0,0,0,0,0,0,0,1,0,0,0
24,178,San Luis Potosí,2018-10-01,0.6504464035912274,0.9163961242083306,-0.0037085041909739047,4.611704326076018,100.655553415316,2.370417204522468e-4,101.26,0.0029481051080968435,7.685,3.81,0.007376966352417469,0,0,0,0,0,0,0,0,1,0,0
